?   	github.com/syrm/maille/cmd	[no test files]
?   	github.com/syrm/maille/internal	[no test files]
?   	github.com/syrm/maille/internal/domain	[no test files]
goos: linux
goarch: amd64
pkg: github.com/syrm/maille/internal/ofx
cpu: AMD Ryzen 9 3900X 12-Core Processor            
BenchmarkSplitOnStmtTrn/match_simple-24         	87645894	        11.58 ns/op	2935.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	92057655	        11.68 ns/op	2909.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	100000000	        11.80 ns/op	2881.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	100000000	        11.80 ns/op	2881.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	100000000	        11.84 ns/op	2872.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	93161358	        11.25 ns/op	3022.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	100000000	        11.64 ns/op	2921.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	98112807	        11.53 ns/op	2948.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	98449195	        11.49 ns/op	2958.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/match_simple-24         	100000000	        11.72 ns/op	2900.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	100000000	        11.43 ns/op	2975.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	100000000	        11.52 ns/op	2951.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	100000000	        11.69 ns/op	2908.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	100000000	        11.97 ns/op	2839.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	93533950	        11.83 ns/op	2874.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	99104360	        12.40 ns/op	2742.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	100000000	        11.98 ns/op	2839.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	94093249	        12.22 ns/op	2781.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	95852823	        12.08 ns/op	2814.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/no_open_tag-24          	95866231	        11.62 ns/op	2926.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/open_no_close-24        	94110375	        11.53 ns/op	2774.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/open_no_close-24        	100000000	        11.68 ns/op	2740.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/open_no_close-24        	90462930	        12.54 ns/op	2551.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkSplitOnStmtTrn/open_no_close-24        	100000000	        11.66 ns/op	2744.69 MB/s	       0 B/op	       0 allocs/op
